variant,agent,session_id,turn_idx,row_ts,observed_latency_ms,prompt_len,chosen,confidence,fallback,path,n_tokens_est,expected_out_tokens,projected_cost_usd,projected_latency_ms,tool_required,has_url,code_fence_count,scores_json
default,claude_code,claude_code:demo-session-001,8,2026-04-18T02:00:36.022352,1300,22,gemma4,0.8754,False,scored,5,10,0.0,0.8,False,False,0,"{""claude"": 0.5231, ""gemini"": 0.1497, ""gemma4"": 0.8754}"
default,claude_code,claude_code:demo-session-001,10,2026-04-18T02:00:36.022352,1300,32,gemma4,0.8618,False,scored,8,16,0.0,1.28,False,False,0,"{""claude"": 0.6241, ""gemini"": 0.0612, ""gemma4"": 0.8618}"
default,claude_code,claude_code:f990c63e-cf39-43c4-92f6-e0d26e23ae72,0,2026-04-18T02:01:16.369348,4.41,54,claude,0.911,False,scored,13,26,0.000429,15.6,False,False,0,"{""claude"": 0.911, ""gemini"": 0.0758, ""gemma4"": 0.5085}"
default,claude_code,claude_code:f990c63e-cf39-43c4-92f6-e0d26e23ae72,2,2026-04-18T02:01:16.369348,4.41,3,gemma4,0.782,False,scored,1,2,0.0,0.16,False,False,0,"{""claude"": 0.2444, ""gemini"": 0.5233, ""gemma4"": 0.782}"
default,claude_code,claude_code:f990c63e-cf39-43c4-92f6-e0d26e23ae72,4,2026-04-18T02:01:16.369348,4.41,3,gemma4,0.832,False,scored,1,2,0.0,0.16,False,False,0,"{""claude"": 0.1944, ""gemini"": 0.5233, ""gemma4"": 0.832}"
default,claude_code,claude_code:0c7e8d3a-f6f8-4fbd-8b4f-8c4fea7caddb,0,2026-04-18T02:01:52.756732,5.36,29,gemma4,0.7286,False,scored,7,14,0.0,1.12,False,False,0,"{""claude"": 0.625, ""gemini"": 0.1439, ""gemma4"": 0.7286}"
default,claude_code,claude_code:0c7e8d3a-f6f8-4fbd-8b4f-8c4fea7caddb,2,2026-04-18T02:01:52.756732,5.36,4628,claude,1.1798,False,scored,1157,1024,0.018831,614.4,True,False,1,"{""claude"": 1.1798, ""gemini"": 0.0101, ""gemma4"": 0.0677}"
default,claude_code,claude_code:0c7e8d3a-f6f8-4fbd-8b4f-8c4fea7caddb,4,2026-04-18T02:01:52.756732,5.36,4975,claude,1.0646,False,scored,1243,1024,0.019089,614.4,True,False,2,"{""claude"": 1.0646, ""gemini"": 0.0866, ""gemma4"": 0.1052}"
default,claude_code,claude_code:0c7e8d3a-f6f8-4fbd-8b4f-8c4fea7caddb,6,2026-04-18T02:01:52.756732,5.36,5590,claude,1.2146,False,scored,1397,1024,0.019551,614.4,True,False,0,"{""claude"": 1.2146, ""gemini"": 0.0307, ""gemma4"": 0.009}"
default,claude_code,claude_code:0c7e8d3a-f6f8-4fbd-8b4f-8c4fea7caddb,8,2026-04-18T02:01:52.756732,5.36,5590,claude,1.2146,False,scored,1397,1024,0.019551,614.4,True,False,0,"{""claude"": 1.2146, ""gemini"": 0.0307, ""gemma4"": 0.009}"
default,claude_code,claude_code:0c7e8d3a-f6f8-4fbd-8b4f-8c4fea7caddb,10,2026-04-18T02:01:52.756732,5.36,13,gemma4,0.8361,False,scored,3,6,0.0,0.48,False,False,0,"{""claude"": 0.2013, ""gemini"": 0.5114, ""gemma4"": 0.8361}"
default,claude_code,claude_code:0c7e8d3a-f6f8-4fbd-8b4f-8c4fea7caddb,12,2026-04-18T02:01:52.756732,5.36,13,gemma4,0.8861,False,scored,3,6,0.0,0.48,False,False,0,"{""claude"": 0.1513, ""gemini"": 0.5114, ""gemma4"": 0.8861}"
default,claude_code,claude_code:c23f7f26-fe6a-4a7b-970d-bf5459eec190,0,2026-04-18T02:02:23.589926,3.2,56,gemini,0.9464,False,scored,14,28,7.42e-05,9.8,False,True,0,"{""claude"": 0.2383, ""gemini"": 0.9464, ""gemma4"": 0.5103}"
default,claude_code,claude_code:c23f7f26-fe6a-4a7b-970d-bf5459eec190,1,2026-04-18T02:02:23.589926,3.2,56,gemini,0.9964,False,scored,14,28,7.42e-05,9.8,False,True,0,"{""claude"": 0.2383, ""gemini"": 0.9964, ""gemma4"": 0.5103}"
default,claude_code,claude_code:c23f7f26-fe6a-4a7b-970d-bf5459eec190,3,2026-04-18T02:02:23.589926,3.2,60,gemini,1.0191,False,scored,15,30,7.95e-05,10.5,False,True,0,"{""claude"": 0.1949, ""gemini"": 1.0191, ""gemma4"": 0.5306}"
default,claude_code,claude_code:c23f7f26-fe6a-4a7b-970d-bf5459eec190,5,2026-04-18T02:02:23.589926,3.2,60,gemini,1.0191,False,scored,15,30,7.95e-05,10.5,False,True,0,"{""claude"": 0.1949, ""gemini"": 1.0191, ""gemma4"": 0.5306}"
default,claude_code,claude_code:c23f7f26-fe6a-4a7b-970d-bf5459eec190,7,2026-04-18T02:02:23.589926,3.2,1,gemma4,1.2411,False,scored,1,2,0.0,0.16,False,False,0,"{""claude"": 0.1279, ""gemini"": 0.1806, ""gemma4"": 1.2411}"
default,claude_code,claude_code:c23f7f26-fe6a-4a7b-970d-bf5459eec190,9,2026-04-18T02:02:23.589926,3.2,1,gemma4,1.2911,False,scored,1,2,0.0,0.16,False,False,0,"{""claude"": 0.1279, ""gemini"": 0.1306, ""gemma4"": 1.2911}"
default,claude_code,claude_code:c23f7f26-fe6a-4a7b-970d-bf5459eec190,11,2026-04-18T02:02:23.589926,3.2,39,gemma4,1.0,False,sensitive,9,18,0.0,1.44,False,False,0,"{""gemma4"": 1.0}"
default,claude_code,claude_code:c23f7f26-fe6a-4a7b-970d-bf5459eec190,13,2026-04-18T02:02:23.589926,3.2,39,gemma4,1.0,False,sensitive,9,18,0.0,1.44,False,False,0,"{""gemma4"": 1.0}"
default,claude_code,claude_code:c23f7f26-fe6a-4a7b-970d-bf5459eec190,15,2026-04-18T02:02:23.589926,3.2,26,gemini,0.8251,False,scored,6,12,3.18e-05,4.2,False,False,0,"{""claude"": 0.1695, ""gemini"": 0.8251, ""gemma4"": 0.5533}"
default,claude_code,claude_code:c23f7f26-fe6a-4a7b-970d-bf5459eec190,17,2026-04-18T02:02:23.589926,3.2,26,gemini,0.8751,False,scored,6,12,3.18e-05,4.2,False,False,0,"{""claude"": 0.1695, ""gemini"": 0.8751, ""gemma4"": 0.5033}"
default,claude_code,claude_code:c23f7f26-fe6a-4a7b-970d-bf5459eec190,19,2026-04-18T02:02:23.589926,3.2,247,gemini,0.7196,False,scored,61,122,0.0003233,42.699999999999996,False,False,0,"{""claude"": 0.2673, ""gemini"": 0.7196, ""gemma4"": 0.5412}"
default,claude_code,claude_code:c23f7f26-fe6a-4a7b-970d-bf5459eec190,21,2026-04-18T02:02:23.589926,3.2,247,gemini,0.7196,False,scored,61,122,0.0003233,42.699999999999996,False,False,0,"{""claude"": 0.2673, ""gemini"": 0.7196, ""gemma4"": 0.5412}"
default,claude_code,claude_code:c23f7f26-fe6a-4a7b-970d-bf5459eec190,23,2026-04-18T02:02:23.589926,3.2,111,claude,0.5875,False,scored,27,54,0.000891,32.4,False,False,0,"{""claude"": 0.5875, ""gemini"": 0.4419, ""gemma4"": 0.5109}"
default,claude_code,claude_code:c23f7f26-fe6a-4a7b-970d-bf5459eec190,25,2026-04-18T02:02:23.589926,3.2,111,claude,0.6375,False,scored,27,54,0.000891,32.4,False,False,0,"{""claude"": 0.6375, ""gemini"": 0.3919, ""gemma4"": 0.5109}"
default,claude_code,claude_code:da1e8087-8de0-4ac6-a4d7-fba837409244,0,2026-04-18T02:02:54.614906,2.8,27,gemma4,0.698,False,scored,6,12,0.0,0.96,False,False,0,"{""claude"": 0.5348, ""gemini"": 0.2651, ""gemma4"": 0.698}"
default,claude_code,claude_code:da1e8087-8de0-4ac6-a4d7-fba837409244,1,2026-04-18T02:02:54.614906,2.8,27,gemma4,0.748,False,scored,6,12,0.0,0.96,False,False,0,"{""claude"": 0.5348, ""gemini"": 0.2651, ""gemma4"": 0.748}"
default,claude_code,claude_code:da1e8087-8de0-4ac6-a4d7-fba837409244,3,2026-04-18T02:02:54.614906,2.8,10,gemma4,0.7862,False,scored,2,4,0.0,0.32,False,False,0,"{""claude"": 0.2767, ""gemini"": 0.4864, ""gemma4"": 0.7862}"
default,claude_code,claude_code:da1e8087-8de0-4ac6-a4d7-fba837409244,5,2026-04-18T02:02:54.614906,2.8,10,gemma4,0.7862,False,scored,2,4,0.0,0.32,False,False,0,"{""claude"": 0.2767, ""gemini"": 0.4864, ""gemma4"": 0.7862}"
default,claude_code,claude_code:da1e8087-8de0-4ac6-a4d7-fba837409244,7,2026-04-18T02:02:54.614906,2.8,47,gemini,0.8195,False,scored,11,22,5.8299999999999994e-05,7.699999999999999,False,False,0,"{""claude"": 0.0777, ""gemini"": 0.8195, ""gemma4"": 0.6489}"
default,claude_code,claude_code:da1e8087-8de0-4ac6-a4d7-fba837409244,9,2026-04-18T02:02:54.614906,2.8,47,gemini,0.8695,False,scored,11,22,5.8299999999999994e-05,7.699999999999999,False,False,0,"{""claude"": 0.0777, ""gemini"": 0.8695, ""gemma4"": 0.5989}"
default,claude_code,claude_code:da1e8087-8de0-4ac6-a4d7-fba837409244,11,2026-04-18T02:02:54.614906,2.8,23,gemma4,0.676,False,scored,5,10,0.0,0.8,False,False,0,"{""claude"": 0.2616, ""gemini"": 0.6106, ""gemma4"": 0.676}"
default,claude_code,claude_code:da1e8087-8de0-4ac6-a4d7-fba837409244,13,2026-04-18T02:02:54.614906,2.8,23,gemma4,0.726,False,scored,5,10,0.0,0.8,False,False,0,"{""claude"": 0.2616, ""gemini"": 0.5606, ""gemma4"": 0.726}"
default,claude_code,claude_code:da1e8087-8de0-4ac6-a4d7-fba837409244,15,2026-04-18T02:02:54.614906,2.8,1,gemma4,0.8504,False,scored,1,2,0.0,0.16,False,False,0,"{""claude"": 0.3034, ""gemini"": 0.3959, ""gemma4"": 0.8504}"
default,claude_code,claude_code:da1e8087-8de0-4ac6-a4d7-fba837409244,17,2026-04-18T02:02:54.614906,2.8,1,gemma4,0.8504,False,scored,1,2,0.0,0.16,False,False,0,"{""claude"": 0.3034, ""gemini"": 0.3959, ""gemma4"": 0.8504}"
default,claude_code,claude_code:da1e8087-8de0-4ac6-a4d7-fba837409244,19,2026-04-18T02:02:54.614906,2.8,28,gemma4,0.7722,False,scored,7,14,0.0,1.12,False,False,0,"{""claude"": 0.5744, ""gemini"": 0.201, ""gemma4"": 0.7722}"
default,claude_code,claude_code:da1e8087-8de0-4ac6-a4d7-fba837409244,21,2026-04-18T02:02:54.614906,2.8,28,gemma4,0.7722,False,scored,7,14,0.0,1.12,False,False,0,"{""claude"": 0.5744, ""gemini"": 0.201, ""gemma4"": 0.7722}"
default,claude_code,claude_code:da1e8087-8de0-4ac6-a4d7-fba837409244,23,2026-04-18T02:02:54.614906,2.8,83,gemma4,0.6923,True,scored,20,40,0.0,3.2,False,False,0,"{""claude"": 0.136, ""gemini"": 0.7146, ""gemma4"": 0.6923}"
default,claude_code,claude_code:da1e8087-8de0-4ac6-a4d7-fba837409244,25,2026-04-18T02:02:54.614906,2.8,83,gemma4,0.6923,True,scored,20,40,0.0,3.2,False,False,0,"{""claude"": 0.136, ""gemini"": 0.7146, ""gemma4"": 0.6923}"
default,claude_code,claude_code:da1e8087-8de0-4ac6-a4d7-fba837409244,27,2026-04-18T02:02:54.614906,2.8,52,claude,0.7319,False,scored,13,26,0.000429,15.6,False,False,0,"{""claude"": 0.7319, ""gemini"": 0.1368, ""gemma4"": 0.6767}"
default,claude_code,claude_code:da1e8087-8de0-4ac6-a4d7-fba837409244,29,2026-04-18T02:02:54.614906,2.8,52,claude,0.7819,False,scored,13,26,0.000429,15.6,False,False,0,"{""claude"": 0.7819, ""gemini"": 0.1368, ""gemma4"": 0.6267}"
default,claude_code,claude_code:da1e8087-8de0-4ac6-a4d7-fba837409244,31,2026-04-18T02:02:54.614906,2.8,40,gemma4,0.6826,False,scored,10,20,0.0,1.6,False,False,0,"{""claude"": 0.3364, ""gemini"": 0.5275, ""gemma4"": 0.6826}"
default,claude_code,claude_code:2cf05db1-510d-46c3-9460-4ebece4856b7,0,2026-04-18T02:03:23.627355,5.24,829,gemini,0.9629,False,scored,207,414,0.0010971,144.9,False,True,0,"{""claude"": 0.1597, ""gemini"": 0.9629, ""gemma4"": 0.003}"
default,claude_code,claude_code:2cf05db1-510d-46c3-9460-4ebece4856b7,1,2026-04-18T02:03:23.627355,5.24,829,gemini,1.0129,False,scored,207,414,0.0010971,144.9,False,True,0,"{""claude"": 0.1597, ""gemini"": 1.0129, ""gemma4"": 0.003}"
default,claude_code,claude_code:2cf05db1-510d-46c3-9460-4ebece4856b7,3,2026-04-18T02:03:23.627355,5.24,73,claude,0.821,False,scored,18,36,0.000594,21.599999999999998,False,False,0,"{""claude"": 0.821, ""gemini"": 0.1795, ""gemma4"": 0.543}"
default,claude_code,claude_code:2cf05db1-510d-46c3-9460-4ebece4856b7,5,2026-04-18T02:03:23.627355,5.24,73,claude,0.871,False,scored,18,36,0.000594,21.599999999999998,False,False,0,"{""claude"": 0.871, ""gemini"": 0.1295, ""gemma4"": 0.543}"
default,claude_code,claude_code:2cf05db1-510d-46c3-9460-4ebece4856b7,7,2026-04-18T02:03:23.627355,5.24,293,gemini,0.8814,False,scored,73,146,0.00038689999999999997,51.099999999999994,False,False,0,"{""claude"": 0.1032, ""gemini"": 0.8814, ""gemma4"": 0.5391}"
default,claude_code,claude_code:b44c9be5-3904-4d00-aa7d-ac083c045f24,0,2026-04-18T02:03:57.158129,1.05,29,claude,0.6439,False,scored,7,14,0.000231,8.4,False,False,0,"{""claude"": 0.6439, ""gemini"": 0.2751, ""gemma4"": 0.5785}"
default,claude_code,claude_code:b44c9be5-3904-4d00-aa7d-ac083c045f24,1,2026-04-18T02:03:57.158129,1.05,29,claude,0.6939,False,scored,7,14,0.000231,8.4,False,False,0,"{""claude"": 0.6939, ""gemini"": 0.2751, ""gemma4"": 0.5785}"
default,claude_code,claude_code:b44c9be5-3904-4d00-aa7d-ac083c045f24,3,2026-04-18T02:03:57.158129,1.05,10,gemini,0.9284,False,scored,2,4,1.06e-05,1.4000000000000001,False,False,0,"{""claude"": 0.0796, ""gemini"": 0.9284, ""gemma4"": 0.5412}"
default,claude_code,claude_code:b44c9be5-3904-4d00-aa7d-ac083c045f24,5,2026-04-18T02:03:57.158129,1.05,10,gemini,0.9784,False,scored,2,4,1.06e-05,1.4000000000000001,False,False,0,"{""claude"": 0.0296, ""gemini"": 0.9784, ""gemma4"": 0.5412}"
default,claude_code,claude_code:b44c9be5-3904-4d00-aa7d-ac083c045f24,7,2026-04-18T02:03:57.158129,1.05,3,gemma4,0.782,False,scored,1,2,0.0,0.16,False,False,0,"{""claude"": 0.1944, ""gemini"": 0.5733, ""gemma4"": 0.782}"
default,claude_code,claude_code:b44c9be5-3904-4d00-aa7d-ac083c045f24,9,2026-04-18T02:03:57.158129,1.05,3,gemma4,0.832,False,scored,1,2,0.0,0.16,False,False,0,"{""claude"": 0.1944, ""gemini"": 0.5233, ""gemma4"": 0.832}"
default,claude_code,claude_code:7a29649e-1a7a-4dc6-a9fa-2614a985c9c7,0,2026-04-18T02:04:24.069557,8.9,45,claude,0.7432,False,scored,11,22,0.000363,13.2,False,False,0,"{""claude"": 0.7432, ""gemini"": 0.2241, ""gemma4"": 0.5287}"
default,claude_code,claude_code:7a29649e-1a7a-4dc6-a9fa-2614a985c9c7,2,2026-04-18T02:04:24.069557,8.9,13198,claude,0.9745,False,scored,3299,1024,0.025257,614.4,True,True,3,"{""claude"": 0.9745, ""gemini"": 0.4127, ""gemma4"": 0.042}"
default,claude_code,claude_code:7a29649e-1a7a-4dc6-a9fa-2614a985c9c7,4,2026-04-18T02:04:24.069557,8.9,14981,gemini,0.9145,False,scored,3745,1024,0.0036835,358.40000000000003,True,True,0,"{""claude"": 0.5103, ""gemini"": 0.9145, ""gemma4"": -0.0014}"
default,claude_code,claude_code:7a29649e-1a7a-4dc6-a9fa-2614a985c9c7,6,2026-04-18T02:04:24.069557,8.9,13,gemma4,0.8361,False,scored,3,6,0.0,0.48,False,False,0,"{""claude"": 0.1513, ""gemini"": 0.5614, ""gemma4"": 0.8361}"
default,claude_code,claude_code:7a29649e-1a7a-4dc6-a9fa-2614a985c9c7,8,2026-04-18T02:04:24.069557,8.9,13,gemma4,0.8861,False,scored,3,6,0.0,0.48,False,False,0,"{""claude"": 0.1513, ""gemini"": 0.5114, ""gemma4"": 0.8861}"
default,claude_code,claude_code:7a29649e-1a7a-4dc6-a9fa-2614a985c9c7,10,2026-04-18T02:04:24.069557,8.9,1,gemma4,0.9534,False,scored,1,2,0.0,0.16,False,False,0,"{""claude"": 0.1669, ""gemini"": 0.4293, ""gemma4"": 0.9534}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,0,2026-04-15T02:09:36.120316,0.54,2328,claude,1.0799,False,scored,582,1024,0.017106,614.4,True,False,0,"{""claude"": 1.0799, ""gemini"": 0.131, ""gemma4"": 0.0042}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,0,2026-04-15T02:46:25.665593,0.3,2328,claude,1.1299,False,scored,582,1024,0.017106,614.4,True,False,0,"{""claude"": 1.1299, ""gemini"": 0.131, ""gemma4"": 0.0042}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,2,2026-04-15T02:46:25.665593,0.3,33,claude,0.8033,False,scored,8,16,0.000264,9.6,False,False,0,"{""claude"": 0.8033, ""gemini"": 0.1761, ""gemma4"": 0.5678}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,4,2026-04-15T02:46:25.665593,0.3,346,gemini,0.9098,False,scored,86,172,0.0004558,60.199999999999996,False,False,0,"{""claude"": 0.0871, ""gemini"": 0.9098, ""gemma4"": 0.5222}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,6,2026-04-15T02:46:25.665593,0.3,49,claude,0.8121,False,scored,12,24,0.000396,14.4,False,False,0,"{""claude"": 0.8121, ""gemini"": 0.1602, ""gemma4"": 0.5734}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,8,2026-04-15T02:46:25.665593,0.3,25,gemini,0.6237,False,scored,6,12,3.18e-05,4.2,False,False,0,"{""claude"": 0.4092, ""gemini"": 0.6237, ""gemma4"": 0.5149}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,10,2026-04-15T02:46:25.665593,0.3,23,claude,0.8044,False,scored,5,10,0.000165,6.0,False,False,0,"{""claude"": 0.8044, ""gemini"": 0.221, ""gemma4"": 0.5228}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,12,2026-04-15T02:46:25.665593,0.3,36,claude,0.8946,False,scored,9,18,0.000297,10.799999999999999,False,False,0,"{""claude"": 0.8946, ""gemini"": 0.1251, ""gemma4"": 0.5271}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,14,2026-04-15T02:46:25.665593,0.3,27,gemma4,0.6708,True,scored,6,12,0.0,0.96,False,False,0,"{""claude"": 0.6794, ""gemini"": 0.1977, ""gemma4"": 0.6708}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,16,2026-04-15T02:46:25.665593,0.3,230,claude,0.7647,False,scored,57,114,0.001881,68.4,False,True,0,"{""claude"": 0.7647, ""gemini"": 0.3743, ""gemma4"": 0.5906}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,0,2026-04-15T04:16:01.735037,0.39,2328,claude,1.1299,False,scored,582,1024,0.017106,614.4,True,False,0,"{""claude"": 1.1299, ""gemini"": 0.131, ""gemma4"": 0.0042}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,2,2026-04-15T04:16:01.735037,0.39,33,claude,0.8033,False,scored,8,16,0.000264,9.6,False,False,0,"{""claude"": 0.8033, ""gemini"": 0.1761, ""gemma4"": 0.5678}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,4,2026-04-15T04:16:01.735037,0.39,346,gemini,0.9098,False,scored,86,172,0.0004558,60.199999999999996,False,False,0,"{""claude"": 0.0871, ""gemini"": 0.9098, ""gemma4"": 0.5222}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,6,2026-04-15T04:16:01.735037,0.39,49,claude,0.8121,False,scored,12,24,0.000396,14.4,False,False,0,"{""claude"": 0.8121, ""gemini"": 0.1602, ""gemma4"": 0.5734}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,8,2026-04-15T04:16:01.735037,0.39,25,gemini,0.6237,False,scored,6,12,3.18e-05,4.2,False,False,0,"{""claude"": 0.4092, ""gemini"": 0.6237, ""gemma4"": 0.5149}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,10,2026-04-15T04:16:01.735037,0.39,23,claude,0.8044,False,scored,5,10,0.000165,6.0,False,False,0,"{""claude"": 0.8044, ""gemini"": 0.221, ""gemma4"": 0.5228}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,12,2026-04-15T04:16:01.735037,0.39,36,claude,0.8946,False,scored,9,18,0.000297,10.799999999999999,False,False,0,"{""claude"": 0.8946, ""gemini"": 0.1251, ""gemma4"": 0.5271}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,14,2026-04-15T04:16:01.735037,0.39,27,gemma4,0.6708,True,scored,6,12,0.0,0.96,False,False,0,"{""claude"": 0.6794, ""gemini"": 0.1977, ""gemma4"": 0.6708}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,16,2026-04-15T04:16:01.735037,0.39,230,claude,0.7647,False,scored,57,114,0.001881,68.4,False,True,0,"{""claude"": 0.7647, ""gemini"": 0.3743, ""gemma4"": 0.5906}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,18,2026-04-15T04:16:01.735037,0.39,89,gemma4,0.5276,True,scored,22,44,0.0,3.5199999999999996,False,False,0,"{""claude"": 0.5117, ""gemini"": 0.5028, ""gemma4"": 0.5276}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,20,2026-04-15T04:16:01.735037,0.39,561,gemini,0.9114,False,scored,140,280,0.000742,98.00000000000001,False,False,0,"{""claude"": 0.0064, ""gemini"": 0.9114, ""gemma4"": 0.5819}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,0,2026-04-15T04:16:23.427025,0.39,2328,claude,1.0799,False,scored,582,1024,0.017106,614.4,True,False,0,"{""claude"": 1.0799, ""gemini"": 0.181, ""gemma4"": 0.0042}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,2,2026-04-15T04:16:23.427025,0.39,33,claude,0.8033,False,scored,8,16,0.000264,9.6,False,False,0,"{""claude"": 0.8033, ""gemini"": 0.1761, ""gemma4"": 0.5678}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,4,2026-04-15T04:16:23.427025,0.39,346,gemini,0.9098,False,scored,86,172,0.0004558,60.199999999999996,False,False,0,"{""claude"": 0.0871, ""gemini"": 0.9098, ""gemma4"": 0.5222}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,6,2026-04-15T04:16:23.427025,0.39,49,claude,0.8121,False,scored,12,24,0.000396,14.4,False,False,0,"{""claude"": 0.8121, ""gemini"": 0.1602, ""gemma4"": 0.5734}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,8,2026-04-15T04:16:23.427025,0.39,25,gemini,0.6237,False,scored,6,12,3.18e-05,4.2,False,False,0,"{""claude"": 0.4092, ""gemini"": 0.6237, ""gemma4"": 0.5149}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,10,2026-04-15T04:16:23.427025,0.39,23,claude,0.8044,False,scored,5,10,0.000165,6.0,False,False,0,"{""claude"": 0.8044, ""gemini"": 0.221, ""gemma4"": 0.5228}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,12,2026-04-15T04:16:23.427025,0.39,36,claude,0.8946,False,scored,9,18,0.000297,10.799999999999999,False,False,0,"{""claude"": 0.8946, ""gemini"": 0.1251, ""gemma4"": 0.5271}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,14,2026-04-15T04:16:23.427025,0.39,27,gemma4,0.6708,True,scored,6,12,0.0,0.96,False,False,0,"{""claude"": 0.6794, ""gemini"": 0.1977, ""gemma4"": 0.6708}"
default,gemini_cli,gemini_cli:f0721add-e7b7-44a0-8120-e4aff6035fe8,16,2026-04-15T04:16:23.427025,0.39,230,claude,0.7647,False,scored,57,114,0.001881,68.4,False,True,0,"{""claude"": 0.7647, ""gemini"": 0.3743, ""gemma4"": 0.5906}"
